Umur <= 19?,Soft skill sangat penting?,Self esteem sangat penting?,Alasan self-esteem valid?,Skill sosial sangat penting?,Alasan skill sosial valid?,Kecerdasan emosional sangat penting?,Alasan kecerdasan emosional valid?,Punya salah satu soft skill yang disebut?
FALSE,FALSE,TRUE,1,TRUE,1,TRUE,1,Mungkin
FALSE,TRUE,TRUE,1,TRUE,1,TRUE,1,Ya
TRUE,FALSE,FALSE,1,FALSE,0,FALSE,0,Ya
FALSE,FALSE,TRUE,1,TRUE,1,TRUE,1,Mungkin
FALSE,FALSE,TRUE,1,FALSE,0,TRUE,1,Mungkin
TRUE,TRUE,TRUE,0,TRUE,1,TRUE,0,Mungkin
TRUE,TRUE,TRUE,1,FALSE,1,TRUE,1,Ya
FALSE,TRUE,TRUE,1,TRUE,1,TRUE,1,Ya
FALSE,TRUE,TRUE,1,TRUE,1,TRUE,1,Ya
FALSE,TRUE,FALSE,0,TRUE,1,TRUE,1,Ya
FALSE,TRUE,TRUE,1,TRUE,1,TRUE,0,Mungkin
TRUE,FALSE,TRUE,1,FALSE,1,TRUE,1,Mungkin
FALSE,TRUE,TRUE,1,TRUE,1,TRUE,1,Mungkin
FALSE,TRUE,FALSE,1,TRUE,1,TRUE,1,Ya
TRUE,FALSE,TRUE,1,FALSE,1,TRUE,1,Ya
FALSE,TRUE,FALSE,1,TRUE,1,FALSE,1,Ya
TRUE,TRUE,TRUE,1,TRUE,1,TRUE,1,Ya
FALSE,TRUE,TRUE,1,TRUE,1,TRUE,1,Ya
TRUE,TRUE,TRUE,1,FALSE,1,FALSE,1,Ya
TRUE,TRUE,FALSE,0,TRUE,1,TRUE,1,Ya
TRUE,TRUE,TRUE,1,TRUE,0,TRUE,1,Ya
TRUE,TRUE,TRUE,1,TRUE,1,TRUE,1,Ya
FALSE,TRUE,FALSE,1,FALSE,1,TRUE,1,Mungkin
TRUE,TRUE,TRUE,1,TRUE,1,TRUE,1,Mungkin
TRUE,TRUE,TRUE,1,TRUE,1,TRUE,1,Mungkin
TRUE,TRUE,TRUE,1,TRUE,1,TRUE,1,Ya
TRUE,TRUE,FALSE,1,TRUE,1,TRUE,1,Ya
TRUE,TRUE,TRUE,1,TRUE,1,FALSE,1,Ya
FALSE,TRUE,FALSE,1,TRUE,1,FALSE,1,Ya
FALSE,TRUE,FALSE,1,TRUE,1,TRUE,1,Mungkin
TRUE,TRUE,TRUE,1,FALSE,1,TRUE,1,Ya
TRUE,TRUE,FALSE,1,TRUE,1,TRUE,1,Ya
TRUE,TRUE,FALSE,1,TRUE,1,TRUE,1,Mungkin
TRUE,TRUE,TRUE,1,TRUE,1,TRUE,1,Ya
FALSE,TRUE,TRUE,1,TRUE,1,TRUE,1,Mungkin
FALSE,TRUE,TRUE,0,TRUE,0,TRUE,0,Ya
FALSE,TRUE,FALSE,0,TRUE,0,FALSE,0,Mungkin
FALSE,FALSE,FALSE,1,TRUE,1,TRUE,0,Ya
FALSE,TRUE,TRUE,1,TRUE,1,TRUE,1,Mungkin
TRUE,TRUE,FALSE,1,TRUE,0,TRUE,0,Mungkin
FALSE,TRUE,FALSE,0,FALSE,1,FALSE,0,Mungkin
FALSE,TRUE,TRUE,1,TRUE,1,TRUE,1,Ya
TRUE,TRUE,TRUE,1,TRUE,1,TRUE,1,Mungkin
FALSE,TRUE,TRUE,1,FALSE,1,FALSE,1,Ya
TRUE,TRUE,TRUE,1,TRUE,1,TRUE,1,Mungkin
TRUE,TRUE,FALSE,1,TRUE,1,TRUE,1,Mungkin
TRUE,TRUE,FALSE,1,TRUE,1,TRUE,1,Mungkin
FALSE,TRUE,TRUE,1,FALSE,1,FALSE,1,Ya
TRUE,TRUE,TRUE,1,TRUE,1,TRUE,1,Ya
TRUE,TRUE,TRUE,1,TRUE,1,TRUE,1,Mungkin
FALSE,TRUE,FALSE,1,FALSE,1,FALSE,0,Mungkin
FALSE,TRUE,TRUE,1,TRUE,0,TRUE,0,Ya
